部分,考试类型,问题类型,问答对,三元组
高考学考,秋考,报名篇,问：表（导）演类的操作重点是什么？答：勾选表（导）演类：还需勾选具体报考方向，三个方向之间可以兼报（既戏剧影视表演方向、戏剧影视导演方向、服装表演方向可以一起报考）。,"['（高考学考-秋考-报名篇，包含，表（导）演类）', '（表（导）演类，包含，戏剧影视表演方向）', '（表（导）演类，包含，戏剧影视导演方向）', '（表（导）演类，包含，服装表演方向）', '（戏剧影视表演方向，可兼报，戏剧影视导演方向）', '（戏剧影视表演方向，可兼报，服装表演方向）', '（戏剧影视导演方向，可兼报，服装表演方向）']"
高考学考,秋考,报名篇,问：考生同时报考戏剧影视表演方向、戏剧影视导演方向。这两个方向都有文学作品朗诵、命题即兴表演考试科目。是否这两门考试都要再考一次？答：由于文学作品朗诵、命题即兴表演考试科目和考核内容相同，仅参加一次考试即可，考试费按考试科目收取。,"['（考生，报考，戏剧影视表演方向）', '（考生，报考，戏剧影视导演方向）', '（戏剧影视表演方向，包含考试科目，文学作品朗诵）', '（戏剧影视表演方向，包含考试科目，命题即兴表演）', '（戏剧影视导演方向，包含考试科目，文学作品朗诵）', '（戏剧影视导演方向，包含考试科目，命题即兴表演）', '（文学作品朗诵，考核内容相同，命题即兴表演）', '（考试费，按考试科目收取，考试科目）']"
高考学考,秋考,报名篇,问：舞蹈类的操作重点是什么？答：勾选舞蹈类还须选择舞蹈种类（包含中国舞、芭蕾舞、国际标准舞、现代舞、流行舞）,"['（舞蹈类，须选择，舞蹈种类）', '（舞蹈种类，包含，中国舞）', '（舞蹈种类，包含，芭蕾舞）', '（舞蹈种类，包含，国际标准舞）', '（舞蹈种类，包含，现代舞）', '（舞蹈种类，包含，流行舞）']"
高考学考,秋考,报名篇,问：音乐类的操作重点是什么？答：考生选择声乐类方向和器乐类方向，还必须选择声乐类型和器乐类型。考生选择音乐教育类方向，需在声乐和器乐科目中选择主项科目和副项科目。,"['（高考学考-秋考-报名篇，包含考试类型，音乐类）', '（音乐类，包含方向，声乐类方向）', '（音乐类，包含方向，器乐类方向）', '（音乐类，包含方向，音乐教育类方向）', '（声乐类方向，需选择，声乐类型）', '（器乐类方向，需选择，器乐类型）', '（音乐教育类方向，需选择，主项科目）', '（音乐教育类方向，需选择，副项科目）']"
高考学考,秋考,报名篇,问：考生报考音乐类，三个方向是否可以兼报？看2023年高考的时候，音乐类可以兼报器乐和声乐？答：不可以，2024年艺考改革音乐类考试仅能选择一个方向报考。,"['（高考学考，包含，秋考）', '（高考学考，包含，报名篇）', '（考生，报考，音乐类）', '（2023年高考，允许兼报，器乐）', '（2023年高考，允许兼报，声乐）', '（2024年艺考改革，影响，音乐类考试）', '（音乐类考试，仅能选择，一个方向）']"
高考学考,秋考,报名篇,问：报名时是否要勾选“参加戏曲联考”选项？答：因2024年艺考改革，戏曲类是新增大类，暂未有统考。参加戏曲类联考的考生须在报名期间勾选戏曲类联考选项，此项勾选仅用于信息采集，实际联考报名详见戏曲类联考组考院校相关信息。,"['（2024年艺考改革，新增，戏曲联考）', '（戏曲联考，属于，戏曲类）', '（戏曲类联考选项，用于，信息采集）', '（戏曲类联考组考院校，组织，戏曲联考）', '（戏曲联考，无，统考）']"
高考学考,秋考,报名篇,问：勾选参加戏曲的联考是否等同直接报名戏曲类联考的考试？答：此项勾选仅用于信息采集，实际联考报名详见戏曲类联考组考院校相关信息。,[]
高考学考,秋考,报名篇,问：报名时是否要勾选“参加艺术类校考”选项？答：参加艺术类院校校考的考生必须先取得相应艺术类专业统考合格，也须在报名期间勾选艺术类校考选项，此项勾选仅用于信息采集。,"['（考生，勾选，参加艺术类校考选项）', '（艺术类院校校考，需要，艺术类专业统考）', '（参加艺术类校考选项，用于，信息采集）', '（报名篇，属于，高考学考-秋考）', '（考生，参加，艺术类院校校考）', '（考生，取得合格，艺术类专业统考）', '（参加艺术类校考选项，勾选时间，报名期间）']"
高考学考,秋考,报名篇,问：勾选参加艺术类校考，是否等同直接报名艺术类校考的考试？答：此项勾选仅用于信息采集，实际校考报名详见招生院校艺术类招生简章的要求。,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（勾选参加艺术类校考，用于，信息采集）', '（实际校考报名，依据，招生院校艺术类招生简章）']"
高考学考,秋考,报名篇,问：如何知道自己参与的艺术类招生是否会进行校考？答：请考生自行关注意向院校的艺术类招生简章信息。,"['（艺术类招生，包含考核形式，校考）', '（艺术类招生简章，发布主体，意向院校）', '（考生，查询渠道，艺术类招生简章）']"
高考学考,秋考,报名篇,问：秋考报名信息确认界面是怎样的？答：在网上自行报名的考生需仔细核对报名信息，在系统关闭前仍可进行修改。,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（报名篇，涉及，报名信息确认界面）', '（考生，核对，报名信息）', '（系统，允许修改，报名信息）']"
高考学考,秋考,报名篇,问：如果照片不符合要求，如何操作？答：根据教育部统一要求，所有参加报名的考生必须拍照。无论考生是否参与考试，未拍照考生一律不准参加招生录取。若报名页面上未显示照片或显示照片与考生本人不符，凭打印的补拍照凭证及考生本人身份证前往以下地点进行照片采集。时间：2023年10月28日-11月1日（每天9:00-11:00，13:00-16:00）地点：虹口区新市南路498号 联系方式：4008205307、8008205307携带材料：1报名确认时打印的拍照凭证；2考生本人身份证。,"['（照片采集，地点，虹口区新市南路498号）', '（照片采集，时间，2023年10月28日-11月1日）', '（照片采集，联系方式，4008205307）', '（照片采集，联系方式，8008205307）', '（照片采集，所需材料，拍照凭证）', '（照片采集，所需材料，身份证）', '（考生，需进行，照片采集）', '（考生，需携带，拍照凭证）', '（考生，需携带，身份证）', '（教育部，要求，照片采集）']"
高考学考,秋考,报名篇,问：考生报名成功进行现场确认是否必须要本人前往现场确认？答：原则上需要本人亲自到场确认。如有特殊情况，请与报名所在区招考机构联系沟通。,"['（高考学考，包含，秋考）', '（高考学考，包含流程，报名篇）', '（报名篇，包含步骤，现场确认）', '（考生，需进行，现场确认）', '（考生，特殊情况需联系，区招考机构）']"
